date,pettah_wholesale,pettah_retail,dambulla_wholesale,dambulla_retail,,,
3/6/2015,60,80,60,85,,,
3/9/2015,55,80,45,70,,,
3/11/2015,50,70,40,65,,,
3/12/2015,55,75,40,65,,,
3/13/2015,50,70,48,65,,,
3/16/2015,50,70,40,70,,,
3/17/2015,50,70,45,65,,, 
3/18/2015,45,70,43,70,,,
3/19/2015,50,70,33,65,,,
3/20/2015,45,70,38,60,,,
3/24/2015,40,60,33,55,,,
3/25/2015,40,60,38,60,,,
3/26/2015,40,60,30,50,,,
3/27/2015,35,55,28,50,,,
3/31/2015,20,40,25,45,,,
4/1/2015,25,45,20,40,,,
4/2/2015,25,45,15,33,,,
4/6/2015,25,55,18,40,,,
4/7/2015,30,50,23,40,,,
4/8/2015,30,50,35,55,,,
4/9/2015,30,50,43,70,,,
4/10/2015,55,80,53,73,,,
4/21/2015,30,50,15,30,,,
4/23/2015,20,40,14,30,,,
4/24/2015,35,60,28,50,,,
4/27/2015,30,50,23,35,,,
4/28/2015,40,60,25,45,,,
4/29/2015,30,50,25,45,,,
4/30/2015,45,65,28,45,,,
5/5/2015,55,80,,,,,
5/6/2015,55,80,35,55,,,
5/7/2015,40,60,40,55,,,
5/8/2015,40,60,30,45,,,
5/11/2015,40,60,28,45,,,
5/12/2015,40,60,45,65,,,
5/13/2015,45,65,48,65,,,
5/14/2015,45,65,43,55,,,
5/15/2015,50,70,43,55,,,
5/18/2015,40,60,43,60,,,
5/19/2015,40,60,43,55,,,
5/20/2015,40,60,33,45,,,
5/21/2015,45,65,40,55,,,
5/22/2015,55,75,33,55,,,
5/25/2015,45,65,38,50,,,
5/26/2015,50,70,45,60,,,
5/27/2015,45,65,45,60,,,
5/28/2015,45,70,45,65,,,
5/29/2015,45,70,48,65,,,
6/1/2015,50,70,45,63,,,
6/3/2015,65,90,45,58,,,
6/4/2015,60,80,,,,,
6/5/2015,65,85,43,55,,,
6/8/2015,45,70,55,70,,,
6/9/2015,50,70,55,63,,,
6/10/2015,50,70,53,63,,,
6/11/2015,50,70,55,70,,,
6/12/2015,50,70,53,63,,,
6/15/2015,50,70,53,70,,,
6/16/2015,50,70,45,63,,,
6/17/2015,50,70,50,60,,,
6/18/2015,50,70,43,60,,,
6/19/2015,50,70,45,65,,,
6/22/2015,45,65,28,45,,,
6/23/2015,40,60,33,45,,,
6/24/2015,40,60,33,45,,,
6/25/2015,40,60,33,40,,,
6/26/2015,35,55,28,43,,,
6/29/2015,40,60,23,35,,,
6/30/2015,40,60,15,25,,,
7/2/2015,40,60,18,33,,,
7/3/2015,35,55,23,40,,,
7/6/2015,30,50,23,40,,,
7/7/2015,35,55,18,30,,,
7/8/2015,35,55,18,30,,,
7/9/2015,35,55,18,30,,,
7/10/2015,40,60,18,33,,,
7/13/2015,30,50,20,40,,,
7/14/2015,30,50,28,40,,,
7/15/2015,43,65,25,43,,,
7/16/2015,60,80,28,43,,,
7/17/2015,60,80,35,53,,,
7/20/2015,60,80,40,60,,,
7/21/2015,60,80,33,48,,,
7/22/2015,55,75,30,43,,,
7/23/2015,55,75,45,65,,,
7/24/2015,60,80,48,60,,,
7/27/2015,50,70,53,65,,,
7/28/2015,45,70,43,60,,,
7/29/2015,40,60,50,68,,,
7/30/2015,40,60,58,78,,,
8/3/2015,40,60,35,60,,,
8/4/2015,40,60,28,50,,,
8/5/2015,40,60,43,60,,,
8/6/2015,40,60,40,60,,,
8/7/2015,40,60,38,60,,,
8/10/2015,40,60,43,60,,,
8/11/2015,38,55,38,60,,,
8/12/2015,40,60,50,60,,,
8/13/2015,35,55,48,65,,,
8/14/2015,40,60,45,65,,,
8/17/2015,40,60,40,65,,,
8/18/2015,35,55,,,,,
8/19/2015,45,65,,,,,
8/20/2015,45,70,58,68,,,
8/21/2015,45,70,43,60,,,
8/24/2015,45,70,45,60,,,
8/25/2015,40,60,38,50,,,
8/26/2015,40,60,45,65,,,
8/27/2015,40,60,48,65,,,
8/28/2015,45,65,45,65,,,
8/31/2015,40,60,58,75,,,
9/1/2015,45,70,45,68,,,
9/2/2015,45,70,48,65,,,
9/3/2015,50,70,55,73,,,
9/4/2015,50,70,40,60,,,
9/7/2015,50,70,43,70,,,
9/8/2015,40,60,48,70,,,
9/9/2015,45,65,55,75,,,
9/10/2015,45,65,50,75,,,
9/11/2015,45,65,53,75,,,
9/14/2015,45,70,60,75,,,
9/15/2015,45,65,50,68,,,
9/16/2015,45,65,55,75,,,
9/17/2015,45,65,55,75,,,
9/18/2015,55,75,58,75,,,
9/21/2015,40,60,48,65,,,
9/22/2015,40,60,53,70,,,
9/23/2015,45,75,58,75,,,
9/25/2015,60,80,55,75,,,
9/28/2015,60,80,53,70,,,
9/29/2015,60,80,45,60,,,
9/30/2015,45,65,55,70,,,
10/1/2015,50,70,43,65,,,
10/2/2015,50,70,48,63,,,
10/5/2015,45,65,40,55,,,
10/6/2015,45,65,45,60,,,
10/7/2015,50,70,48,70,,,
10/8/2015,45,65,43,63,,,
10/9/2015,45,65,48,60,,,
10/12/2015,35,55,45,65,,,
10/13/2015,40,60,43,60,,,
10/14/2015,40,60,45,65,,,
10/15/2015,40,60,40,60,,,
10/16/2015,40,60,38,60,,,
10/19/2015,40,60,43,60,,,
10/20/2015,40,60,35,60,,,
10/21/2015,40,60,33,45,,,
10/22/2015,40,60,43,60,,,
10/23/2015,40,60,45,65,,,
10/26/2015,65,85,53,65,,,
10/28/2015,65,85,,,,,
10/29/2015,55,75,53,75,,,
10/30/2015,55,75,45,65,,,
11/2/2015,45,65,48,65,,,
11/3/2015,65,85,58,85,,,
11/4/2015,60,80,48,65,,,
11/5/2015,60,80,55,75,,,
11/6/2015,55,75,68,85,,,
11/9/2015,60,80,60,75,,,
11/11/2015,65,85,93,115,,,
11/12/2015,65,85,80,95,,,
11/13/2015,60,80,100,120,,,
11/16/2015,80,100,85,115,,,
11/17/2015,85,105,80,100,,,
11/18/2015,85,105,80,95,,,
11/19/2015,90,110,88,105,,,
11/20/2015,85,105,85,110,,,
11/23/2015,75,95,85,110,,,
11/24/2015,75,100,90,110,,,
11/26/2015,100,120,85,110,,,
11/27/2015,105,125,95,120,,,
11/30/2015,100,120,95,120,,,
12/1/2015,95,115,95,120,,,
12/2/2015,95,110,93,115,,,
12/3/2015,90,110,90,115,,,
12/4/2015,100,120,100,115,,,
12/7/2015,80,100,78,110,,,
12/8/2015,75,95,85,115,,,
12/9/2015,70,90,75,110,,,
12/10/2015,70,90,95,120,,,
12/11/2015,75,95,70,95,,,
12/14/2015,80,100,85,120,,,
12/15/2015,85,105,90,120,,,
12/16/2015,95,115,90,125,,,
12/17/2015,105,125,88,115,,,
12/18/2015,105,125,90,115,,,
12/21/2015,120,140,110,140,,,
12/22/2015,120,140,110,135,,,
12/23/2015,125,150,110,135,,,
12/28/2015,160,180,175,225,,,
12/29/2015,200,220,175,225,,,
12/30/2015,180,200,170,215,,,
12/31/2015,160,180,160,225,,,
1/1/2016,160,180,125,175,,,
1/4/2016,150,170,120,175,,,
1/5/2016,160,180,120,165,,,
