date,pettah_wholesale,pettah_retail,dambulla_wholesale,dambulla_retail
3/6/2015,60,80,33,70
3/9/2015,60,80,33,60
3/11/2015,60,80,33,60
3/12/2015,60,80,38,60
3/13/2015,40,60,35,65
3/16/2015,40,60,30,60
3/17/2015,40,60,30,60
3/18/2015,40,60,28,60
3/19/2015,40,60,25,50
3/20/2015,40,60,35,70
3/24/2015,50,70,35,60
3/25/2015,50,70,33,55
3/26/2015,50,70,30,60
3/27/2015,40,60,30,50
3/31/2015,40,60,35,70
4/1/2015,40,60,30,60
4/2/2015,40,60,33,65
4/6/2015,40,60,28,55
4/7/2015,40,60,28,55
4/8/2015,40,60,30,60
4/9/2015,40,60,28,60
4/10/2015,60,80,15,35
4/21/2015,40,60,23,40
4/23/2015,40,60,18,40
4/24/2015,40,60,23,40
4/27/2015,40,60,25,55
4/28/2015,40,60,18,35
4/29/2015,40,60,25,50
4/30/2015,40,60,25,45
5/5/2015,40,60,,
5/6/2015,40,60,23,40
5/7/2015,40,60,25,50
5/8/2015,40,60,35,60
5/11/2015,45,65,30,60
5/12/2015,40,60,38,65
5/13/2015,40,60,30,55
5/14/2015,40,60,33,60
5/15/2015,40,60,33,60
5/18/2015,40,60,44,70
5/19/2015,40,60,53,70
5/20/2015,40,60,50,70
5/21/2015,45,65,53,83
5/22/2015,55,80,53,83
5/25/2015,45,70,55,85
5/26/2015,60,80,60,90
5/27/2015,60,80,55,90
5/28/2015,60,80,60,90
5/29/2015,60,80,58,90
6/1/2015,45,70,63,90
6/3/2015,65,85,75,110
6/4/2015,60,80,,
6/5/2015,70,90,55,80
6/8/2015,45,70,65,105
6/9/2015,50,70,55,90
6/10/2015,50,70,53,85
6/11/2015,50,70,60,90
6/12/2015,50,70,70,90
6/15/2015,55,75,55,90
6/16/2015,50,70,50,85
6/17/2015,50,70,55,85
6/18/2015,50,70,48,85
6/19/2015,50,70,45,85
6/22/2015,60,80,40,70
6/23/2015,50,70,48,75
6/24/2015,50,70,43,75
6/25/2015,45,70,43,75
6/26/2015,45,70,38,75
6/29/2015,50,70,45,70
6/30/2015,50,70,33,65
7/2/2015,50,70,38,65
7/3/2015,60,80,40,65
7/6/2015,60,80,40,65
7/7/2015,60,80,40,70
7/8/2015,60,80,38,70
7/9/2015,60,80,38,70
7/10/2015,60,80,38,70
7/13/2015,60,80,40,70
7/14/2015,60,80,40,70
7/15/2015,38,55,40,70
7/16/2015,50,70,38,70
7/17/2015,60,80,38,70
7/20/2015,60,80,45,73
7/21/2015,60,80,40,70
7/22/2015,55,75,38,70
7/23/2015,60,80,38,70
7/24/2015,60,80,35,70
7/27/2015,45,70,43,70
7/28/2015,40,60,43,70
7/29/2015,40,60,40,70
7/30/2015,40,60,45,73
8/3/2015,40,60,45,70
8/4/2015,40,60,50,70
8/5/2015,40,60,53,75
8/6/2015,65,80,48,70
8/7/2015,60,80,40,70
8/10/2015,40,60,45,73
8/11/2015,40,60,35,70
8/12/2015,40,60,45,70
8/13/2015,40,60,50,75
8/14/2015,50,70,48,70
8/17/2015,40,60,45,70
8/18/2015,40,60,,
8/19/2015,40,60,,
8/20/2015,45,70,50,70
8/21/2015,50,70,33,70
8/24/2015,45,70,40,75
8/25/2015,40,60,33,60
8/26/2015,50,70,38,65
8/27/2015,50,70,40,65
8/28/2015,50,70,40,65
8/31/2015,50,70,38,65
9/1/2015,40,60,38,65
9/2/2015,40,60,35,65
9/3/2015,40,60,30,65
9/4/2015,40,60,33,65
9/7/2015,50,70,33,65
9/8/2015,50,70,30,60
9/9/2015,45,65,28,60
9/10/2015,45,65,30,60
9/11/2015,45,65,38,65
9/14/2015,40,60,35,60
9/15/2015,40,60,28,55
9/16/2015,40,60,30,60
9/17/2015,40,60,35,60
9/18/2015,40,60,38,60
9/21/2015,40,60,28,55
9/22/2015,40,60,28,55
9/23/2015,40,60,28,55
9/25/2015,40,60,25,50
9/28/2015,40,60,35,60
9/29/2015,40,60,35,60
9/30/2015,40,60,28,60
10/1/2015,40,60,30,60
10/2/2015,40,60,30,60
10/5/2015,40,60,28,60
10/6/2015,40,60,30,60
10/7/2015,40,60,28,60
10/8/2015,40,60,30,60
10/9/2015,40,60,28,60
10/12/2015,45,65,38,65
10/13/2015,40,60,35,65
10/14/2015,40,60,35,65
10/15/2015,40,60,30,55
10/16/2015,40,60,35,60
10/19/2015,40,60,25,50
10/20/2015,45,65,33,60
10/21/2015,40,60,40,70
10/22/2015,40,60,45,78
10/23/2015,40,60,40,75
10/26/2015,85,110,60,90
10/28/2015,80,100,,
10/29/2015,80,100,65,100
10/30/2015,80,100,40,90
11/2/2015,85,105,48,80
11/3/2015,80,100,65,120
11/4/2015,85,105,70,120
11/5/2015,80,100,60,90
11/6/2015,80,100,80,120
11/9/2015,105,125,90,140
11/11/2015,105,125,100,145
11/12/2015,100,120,105,145
11/13/2015,105,125,133,165
11/16/2015,140,160,110,165
11/17/2015,140,160,110,165
11/18/2015,155,175,110,165
11/19/2015,140,160,120,165
11/20/2015,140,160,125,165
11/23/2015,140,160,115,160
11/24/2015,140,160,120,160
11/26/2015,145,160,125,165
11/27/2015,155,170,120,165
11/30/2015,150,170,140,175
12/1/2015,150,170,135,175
12/2/2015,150,170,138,170
12/3/2015,150,170,143,180
12/4/2015,150,170,140,180
12/7/2015,160,180,125,175
12/8/2015,160,180,130,175
12/9/2015,160,180,130,180
12/10/2015,160,180,115,165
12/11/2015,160,180,93,125
12/14/2015,155,175,80,120
12/15/2015,130,150,85,120
12/16/2015,115,135,88,120
12/17/2015,110,130,90,125
12/18/2015,110,130,100,140
12/21/2015,130,150,98,135
12/22/2015,110,130,100,125
12/23/2015,110,130,100,125
12/28/2015,160,180,155,175
12/29/2015,160,180,158,190
12/30/2015,140,160,120,165
12/31/2015,140,160,115,165
1/1/2016,140,160,125,175
1/4/2016,140,160,130,175
1/5/2016,140,160,105,165
1/6/2016,140,160,100,155
1/7/2016,105,125,80,125
1/8/2016,120,140,65,120
1/11/2016,120,140,80,120
1/12/2016,100,120,80,125
1/13/2016,100,120,85,125
1/14/2016,100,120,93,135
1/18/2016,120,140,90,125
1/19/2016,100,120,105,145
1/20/2016,100,120,105,145
1/21/2016,100,120,100,145
1/22/2016,120,140,110,160
1/25/2016,120,140,120,175
1/26/2016,115,130,110,165
1/27/2016,120,140,95,125
1/28/2016,100,120,98,125
1/29/2016,100,120,95,125
2/1/2016,100,120,95,135
2/2/2016,100,120,90,120
2/3/2016,100,120,80,120
2/5/2016,100,120,90,125
2/8/2016,100,120,80,125
2/9/2016,100,120,85,120
2/10/2016,100,120,78,120
2/11/2016,90,110,80,125
2/12/2016,90,110,70,120
2/15/2016,80,100,68,120
2/16/2016,80,100,68,120
2/17/2016,80,100,55,110
2/18/2016,80,100,58,95
2/19/2016,80,100,40,90
2/23/2016,80,100,50,70
2/24/2016,75,90,45,75
2/25/2016,70,90,55,75
2/26/2016,70,90,35,65
2/29/2016,80,100,43,70
3/1/2016,65,85,53,75
3/2/2016,75,95,45,65
3/3/2016,70,90,45,65
3/4/2016,70,90,43,80
3/8/2016,60,80,48,85
3/9/2016,45,70,43,70
3/10/2016,60,80,45,70
3/11/2016,60,80,48,70
3/14/2016,60,80,48,70
3/15/2016,60,80,45,70
3/16/2016,50,90,43,70
3/17/2016,60,80,43,70
3/18/2016,60,80,38,70
3/21/2016,60,80,45,80
3/23/2016,60,80,40,65
3/24/2016,65,85,53,75
3/28/2016,75,95,80,115
3/29/2016,80,100,90,135
3/30/2016,85,105,78,110
3/31/2016,90,110,75,110
4/1/2016,80,100,73,105
4/4/2016,70,90,53,85
4/5/2016,70,100,60,90
4/6/2016,70,90,60,90
4/7/2016,70,90,45,70
4/8/2016,70,90,53,70
4/11/2016,60,80,50,85
4/12/2016,60,80,50,75
4/15/2016,,,,
4/18/2016,60,80,,
4/19/2016,60,90,65,90
4/20/2016,50,70,45,85
4/22/2016,50,70,50,70
4/25/2016,50,70,50,90
4/26/2016,50,70,48,80
4/27/2016,50,70,40,70
4/28/2016,50,70,48,75
4/29/2016,50,70,55,90
5/3/2016,60,80,55,90
5/4/2016,60,80,50,90
5/5/2016,60,80,60,90
5/6/2016,60,80,65,90
5/9/2016,60,80,63,90
5/10/2016,60,80,70,110
5/11/2016,60,80,70,95
5/12/2016,60,80,80,110
5/13/2016,70,90,73,90
5/16/2016,70,90,80,120
5/17/2016,70,90,90,145
5/18/2016,70,90,68,95
5/19/2016,80,100,80,105
5/20/2016,80,100,65,95
5/24/2016,80,100,88,135
5/25/2016,80,100,85,135
5/26/2016,100,120,95,135
5/27/2016,100,120,95,135
5/30/2016,100,120,105,145
5/31/2016,90,110,103,150
6/1/2016,100,120,95,150
6/2/2016,100,120,115,165
6/3/2016,100,120,125,175
6/6/2016,100,120,125,170
6/7/2016,100,120,125,170
6/8/2016,100,120,143,175
6/9/2016,110,130,155,190
6/10/2016,140,160,150,190
6/13/2016,160,180,135,165
6/14/2016,160,180,145,175
6/15/2016,140,160,120,175
6/16/2016,130,150,115,165
6/17/2016,130,150,115,165
6/20/2016,130,150,,
6/21/2016,130,150,130,180
6/22/2016,120,140,118,180
6/23/2016,130,150,110,150
6/24/2016,120,140,100,150
6/27/2016,100,120,85,135
6/28/2016,100,120,105,165
6/29/2016,100,120,110,165
6/30/2016,100,120,95,160
7/1/2016,120,180,90,160
7/4/2016,120,140,95,150
7/5/2016,120,140,105,155
7/7/2016,120,140,108,145
7/8/2016,120,140,100,145
7/11/2016,120,140,125,165
7/12/2016,120,140,115,165
7/13/2016,120,140,105,160
7/14/2016,100,120,113,165
7/15/2016,100,120,115,165
7/18/2016,100,120,120,155
7/20/2016,100,120,,
7/21/2016,100,120,115,150
7/22/2016,100,120,100,150
7/25/2016,80,100,115,165
7/26/2016,80,100,115,165
7/27/2016,80,100,95,145
7/28/2016,80,100,85,120
7/29/2016,80,100,95,140
8/1/2016,80,100,80,120
8/2/2016,80,100,80,115
8/3/2016,70,90,65,90
8/4/2016,60,80,80,110
8/5/2016,60,80,73,105
8/8/2016,70,90,60,90
8/9/2016,60,80,65,90
8/10/2016,60,80,70,105
8/11/2016,60,80,55,90
8/12/2016,75,95,75,110
8/15/2016,80,100,80,125
8/16/2016,65,85,70,120
8/18/2016,70,90,80,125
8/19/2016,70,90,83,125
8/22/2016,70,90,83,120
8/23/2016,70,90,53,90
8/24/2016,60,80,60,90
8/25/2016,60,80,45,70
8/26/2016,65,85,45,70
8/29/2016,60,80,45,70
8/30/2016,50,80,43,70
8/31/2016,70,90,45,70
9/1/2016,65,85,40,70
9/2/2016,60,80,43,70
9/5/2016,50,70,45,70
9/6/2016,50,70,43,70
9/7/2016,50,70,43,65
9/8/2016,40,60,40,65
9/9/2016,60,80,45,68
9/13/2016,60,80,53,80
9/14/2016,50,70,55,80
9/15/2016,50,70,50,80
9/19/2016,50,70,53,70
9/20/2016,50,70,43,70
9/21/2016,50,70,45,65
9/22/2016,45,65,38,60
9/23/2016,50,70,35,60
9/26/2016,50,70,45,65
9/27/2016,60,80,40,65
9/28/2016,60,80,38,65
9/29/2016,50,80,45,65
9/30/2016,45,70,45,65
10/3/2016,40,78,45,60
10/4/2016,39,75,40,60
10/5/2016,42,73,43,60
10/6/2016,45,73,43,60
10/7/2016,45,75,35,60
10/10/2016,39,73,45,65
10/11/2016,45,83,45,65
10/12/2016,45,78,43,65
10/13/2016,45,83,40,65
10/14/2016,60,103,48,70
10/17/2016,55,85,50,70
10/18/2016,50,80,45,70
10/19/2016,55,83,50,70
10/20/2016,40,70,35,60
10/21/2016,45,75,48,70
10/24/2016,50,75,40,70
10/25/2016,40,70,43,70
10/26/2016,40,70,40,70
10/27/2016,40,70,45,70
10/28/2016,45,75,30,55
10/31/2016,45,75,40,55
11/1/2016,45,70,40,58
11/2/2016,40,65,30,60
11/3/2016,35,75,25,50
11/4/2016,40,75,15,30
11/7/2016,35,65,25,40
11/8/2016,30,50,15,35
11/9/2016,30,60,20,35
11/10/2016,35,60,25,40
11/11/2016,25,50,20,40
11/15/2016,35,63,20,40
11/16/2016,25,50,25,50
11/17/2016,25,50,25,50
11/18/2016,25,50,28,50
11/21/2016,20,50,20,45
11/22/2016,25,53,15,35
11/23/2016,20,50,25,50
11/24/2016,18,50,25,50
11/25/2016,28,67,18,40
11/28/2016,23,50,20,35
11/29/2016,25,63,25,45
11/30/2016,22,50,25,45
12/1/2016,18,47,20,45
12/2/2016,20,50,23,40
12/5/2016,25,50,23,40
12/6/2016,23,50,20,40
12/7/2016,25,50,18,35
12/8/2016,25,50,15,30
12/9/2016,20,50,25,45
12/14/2016,25,55,15,30
12/15/2016,25,50,23,45
12/16/2016,23,50,25,45
12/19/2016,25,55,15,30
12/20/2016,25,50,13,25
12/21/2016,23,57,13,25
12/22/2016,23,47,15,30
12/23/2016,20,50,14,28
12/27/2016,18,47,15,30
12/28/2016,18,47,13,25
12/29/2016,18,47,18,35
12/30/2016,20,50,15,30
1/2/2017,20,50,23,40
1/3/2017,18,47,13,30
1/4/2017,22,50,25,40
1/5/2017,22,50,15,33
1/6/2017,20,50,15,33
1/9/2017,20,50,13,33
1/10/2017,18,43,18,35
1/11/2017,15,40,13,35
1/13/2017,20,45,18,35
1/16/2017,20,50,13,30
1/17/2017,20,50,23,43
1/18/2017,15,40,15,35
1/19/2017,25,55,15,30
1/20/2017,20,40,20,35
1/23/2017,15,40,15,35
1/24/2017,20,45,15,35
1/25/2017,20,45,20,35
1/26/2017,20,45,15,25
1/27/2017,20,43,18,33
1/30/2017,20,40,10,25
1/31/2017,15,45,10,25
2/1/2017,20,45,15,35
2/2/2017,20,45,15,25
2/3/2017,20,45,10,30
2/6/2017,25,45,20,35
2/7/2017,20,45,10,25
2/8/2017,20,45,15,35
2/9/2017,20,50,10,25
