date,pettah_wholesale,pettah_retail,dambulla_wholesale,dambulla_retail
3/6/2015,100,120,95,135
3/9/2015,100,120,95,150
3/11/2015,100,120,93,120
3/12/2015,100,120,95,120
3/13/2015,80,100,88,155
3/16/2015,80,100,88,120
3/17/2015,90,110,85,125
3/18/2015,80,100,80,125
3/19/2015,80,100,75,120
3/20/2015,80,100,75,120
3/24/2015,120,140,110,160
3/25/2015,120,140,115,160
3/26/2015,120,140,125,165
3/27/2015,115,140,115,165
3/31/2015,115,140,110,165
4/1/2015,120,140,95,165
4/2/2015,100,120,98,165
4/6/2015,120,140,95,165
4/7/2015,120,140,110,165
4/8/2015,120,140,120,165
4/9/2015,115,140,115,165
4/10/2015,110,130,110,175
4/21/2015,120,140,110,165
4/23/2015,110,130,118,150
4/24/2015,100,120,115,165
4/27/2015,95,120,90,135
4/28/2015,100,120,88,130
4/29/2015,100,120,,
4/30/2015,105,125,95,140
5/5/2015,100,120,,
5/6/2015,120,140,85,135
5/7/2015,100,120,100,145
5/8/2015,100,120,95,145
5/11/2015,100,120,95,140
5/12/2015,100,120,95,140
5/13/2015,100,120,83,125
5/14/2015,120,140,90,135
5/15/2015,100,120,88,145
5/18/2015,100,120,115,155
5/19/2015,100,120,140,170
5/20/2015,95,120,138,170
5/21/2015,125,150,165,190
5/22/2015,140,160,170,200
5/25/2015,145,160,145,190
5/26/2015,160,180,145,190
5/27/2015,160,180,145,190
5/28/2015,175,200,150,185
5/29/2015,160,180,140,175
6/1/2015,145,170,163,200
6/3/2015,220,240,210,265
6/4/2015,200,220,,
6/5/2015,200,220,175,210
6/8/2015,160,180,185,225
6/9/2015,160,180,160,200
6/10/2015,145,160,178,220
6/11/2015,150,170,175,215
6/12/2015,150,170,210,260
6/15/2015,160,180,213,260
6/16/2015,145,165,200,260
6/17/2015,160,175,190,255
6/18/2015,170,185,205,255
6/19/2015,170,190,205,255
6/22/2015,180,200,190,240
6/23/2015,165,180,180,235
6/24/2015,170,190,195,240
6/25/2015,180,200,195,225
6/26/2015,160,180,205,260
6/29/2015,170,190,210,260
6/30/2015,180,195,195,250
7/2/2015,180,200,205,260
7/3/2015,180,200,190,260
7/6/2015,160,180,168,220
7/7/2015,160,180,153,190
7/8/2015,160,180,130,165
7/9/2015,160,180,118,165
7/10/2015,180,200,115,165
7/13/2015,180,200,150,180
7/14/2015,180,200,170,205
7/15/2015,150,170,160,205
7/16/2015,160,180,163,205
7/17/2015,150,170,150,210
7/20/2015,140,160,145,190
7/21/2015,145,170,135,170
7/22/2015,145,165,120,165
7/23/2015,140,160,115,165
7/24/2015,140,160,115,165
7/27/2015,120,140,130,175
7/28/2015,120,140,133,165
7/29/2015,120,140,135,165
7/30/2015,120,140,130,165
8/3/2015,120,140,133,165
8/4/2015,120,140,120,165
8/5/2015,120,140,115,165
8/6/2015,100,120,125,165
8/7/2015,120,140,105,165
8/10/2015,105,125,95,150
8/11/2015,105,125,90,150
8/12/2015,100,120,98,150
8/13/2015,95,115,95,145
8/14/2015,115,130,125,165
8/17/2015,95,120,128,170
8/18/2015,100,120,,
8/19/2015,100,120,,
8/20/2015,100,120,130,170
8/21/2015,95,120,100,160
8/24/2015,110,130,100,160
8/25/2015,80,100,88,135
8/26/2015,80,100,88,135
8/27/2015,85,105,93,135
8/28/2015,100,120,93,135
8/31/2015,90,110,100,135
9/1/2015,90,110,98,140
9/2/2015,95,115,100,140
9/3/2015,110,125,85,140
9/4/2015,95,120,80,140
9/7/2015,85,100,88,135
9/8/2015,80,100,70,135
9/9/2015,85,105,73,135
9/10/2015,90,115,70,135
9/11/2015,85,105,80,135
9/14/2015,75,100,78,120
9/15/2015,75,95,65,100
9/16/2015,75,100,73,110
9/17/2015,75,100,78,110
9/18/2015,75,95,80,110
9/21/2015,80,100,78,120
9/22/2015,80,100,68,110
9/23/2015,80,100,78,110
9/25/2015,80,100,73,110
9/28/2015,80,100,78,113
9/29/2015,75,95,55,100
9/30/2015,75,90,60,100
10/1/2015,75,90,60,100
10/2/2015,75,90,50,100
10/5/2015,85,105,63,100
10/6/2015,90,110,58,100
10/7/2015,75,95,73,110
10/8/2015,75,95,53,100
10/9/2015,75,95,73,105
10/12/2015,75,95,73,110
10/13/2015,75,95,63,100
10/14/2015,75,95,68,100
10/15/2015,75,95,58,90
10/16/2015,75,95,58,90
10/19/2015,75,95,58,100
10/20/2015,75,95,63,100
10/21/2015,75,95,63,100
