date,beans_pettah_retail,brinjal_pettah_retail,cabbage_pettah_retail,carrot_pettah_retail,tomatoe_pettah_retail
3/6/2015,160,80,80,120,80
3/9/2015,160,80,80,120,80
3/11/2015,140,70,80,120,85
3/12/2015,160,75,80,120,95
3/13/2015,140,70,60,100,70
3/16/2015,140,70,60,100,80
3/17/2015,140,70,60,110,70
3/18/2015,140,70,60,100,70
3/19/2015,140,70,60,100,75
3/20/2015,140,70,60,100,70
3/24/2015,140,60,70,140,100
3/25/2015,100,60,70,140,90
3/26/2015,80,60,70,140,85
3/27/2015,80,55,60,140,90
3/31/2015,80,40,60,140,80
4/1/2015,80,45,60,140,85
4/2/2015,80,45,60,120,80
4/6/2015,70,55,60,140,100
4/7/2015,80,50,60,140,100
4/8/2015,80,50,60,140,90
4/9/2015,80,50,60,140,80
4/10/2015,120,80,80,130,120
4/21/2015,140,50,60,140,60
4/23/2015,120,40,60,130,60
4/24/2015,130,60,60,120,60
4/27/2015,120,50,60,120,60
4/28/2015,120,60,60,120,60
4/29/2015,130,50,60,120,60
4/30/2015,145,65,60,125,60
5/5/2015,140,80,60,120,60
5/6/2015,140,80,60,140,60
5/7/2015,120,60,60,120,60
5/8/2015,140,60,60,120,60
5/11/2015,130,60,65,120,60
5/12/2015,140,60,60,120,60
5/13/2015,120,65,60,120,60
5/14/2015,140,65,60,140,60
5/15/2015,140,70,60,120,55
5/18/2015,120,60,60,120,55
5/19/2015,125,60,60,120,55
5/20/2015,120,60,60,120,55
5/21/2015,145,65,65,150,50
5/22/2015,160,75,80,160,50
5/25/2015,180,65,70,160,50
5/26/2015,180,70,80,180,50
5/27/2015,160,65,80,180,50
5/28/2015,160,70,80,200,50
5/29/2015,160,70,80,180,50
6/1/2015,160,70,70,170,50
6/3/2015,160,90,85,240,50
6/4/2015,160,80,80,220,50
6/5/2015,160,85,90,220,50
6/8/2015,140,70,70,180,50
6/9/2015,140,70,70,180,50
6/10/2015,140,70,70,160,50
6/11/2015,150,70,70,170,50
6/12/2015,160,70,70,170,50
6/15/2015,170,70,75,180,45
6/16/2015,150,70,70,165,50
6/17/2015,155,70,70,175,50
6/18/2015,165,70,70,185,50
6/19/2015,180,70,70,190,50
6/22/2015,180,65,80,200,60
6/23/2015,175,60,70,180,55
6/24/2015,180,60,70,190,65
6/25/2015,140,60,70,200,65
6/26/2015,180,55,70,180,60
6/29/2015,180,60,70,190,65
6/30/2015,185,60,70,195,65
7/2/2015,180,60,70,200,70
7/3/2015,200,55,80,200,70
7/6/2015,200,50,80,180,75
7/7/2015,200,55,80,180,80
7/8/2015,190,55,80,180,80
7/9/2015,170,55,80,180,75
7/10/2015,180,60,80,200,80
7/13/2015,180,50,80,200,110
7/14/2015,180,50,80,200,120
7/15/2015,160,65,55,170,140
7/16/2015,180,80,70,180,160
7/17/2015,170,80,80,170,160
7/20/2015,170,80,80,160,140
7/21/2015,170,80,80,170,140
7/22/2015,165,75,75,165,140
7/23/2015,170,75,80,160,140
7/24/2015,160,80,80,160,120
7/27/2015,180,70,70,140,130
7/28/2015,180,70,60,140,140
7/29/2015,160,60,60,140,120
7/30/2015,160,60,60,140,120
8/3/2015,160,60,60,140,110
8/4/2015,160,60,60,140,110
8/5/2015,140,60,60,140,100
8/6/2015,120,60,80,120,100
8/7/2015,120,60,80,140,100
8/10/2015,120,60,60,125,95
8/11/2015,115,55,60,125,95
8/12/2015,120,60,60,120,95
8/13/2015,110,55,60,115,95
8/14/2015,100,60,70,130,80
8/17/2015,85,60,60,120,60
8/18/2015,80,55,60,120,60
8/19/2015,100,65,60,120,60
8/20/2015,120,70,70,120,60
8/21/2015,100,70,70,120,60
8/24/2015,125,70,70,130,60
8/25/2015,80,60,60,100,50
8/26/2015,95,60,70,100,60
8/27/2015,95,60,70,105,60
8/28/2015,120,65,70,120,60
8/31/2015,120,60,70,110,65
9/1/2015,100,70,60,110,60
9/2/2015,100,70,60,115,60
9/3/2015,100,70,60,125,70
9/4/2015,105,70,60,120,70
9/7/2015,100,70,70,100,70
9/8/2015,100,60,70,100,60
9/9/2015,100,65,65,105,70
9/10/2015,105,65,65,115,70
9/11/2015,110,65,65,105,70
9/14/2015,140,70,60,100,70
9/15/2015,140,65,60,95,70
9/16/2015,140,65,60,100,70
9/17/2015,120,65,60,100,80
9/18/2015,120,75,60,95,70
9/21/2015,140,60,60,100,65
9/22/2015,135,60,60,100,70
9/23/2015,125,75,60,100,70
9/25/2015,125,80,60,100,70
9/28/2015,140,80,60,100,75
9/29/2015,130,80,60,95,110
9/30/2015,140,65,60,90,95
10/1/2015,140,70,60,90,95
10/2/2015,140,70,60,90,95
10/5/2015,145,65,60,105,95
10/6/2015,160,65,60,110,80
10/7/2015,150,70,60,95,90
10/8/2015,150,65,60,95,90
10/9/2015,155,65,60,95,90
10/12/2015,160,55,65,95,85
10/13/2015,150,60,60,95,80
10/14/2015,150,60,60,95,85
10/15/2015,145,60,60,95,80
10/16/2015,145,60,60,95,85
10/19/2015,165,60,60,95,90
10/20/2015,165,60,65,95,95
10/21/2015,165,60,60,95,90
10/22/2015,165,60,60,95,95
10/23/2015,165,60,60,95,95
10/26/2015,175,85,110,165,115
10/28/2015,175,85,100,160,100
10/29/2015,165,75,100,160,100
10/30/2015,180,75,100,160,105
11/2/2015,250,65,105,145,105
11/3/2015,250,85,100,140,100
11/4/2015,245,80,105,145,100
11/5/2015,220,80,100,145,100
11/6/2015,220,75,100,140,95
11/9/2015,220,80,125,170,120
11/11/2015,260,85,125,200,120
11/12/2015,260,85,120,180,105
11/13/2015,245,80,125,175,105
11/16/2015,230,100,160,205,105
11/17/2015,240,105,160,220,115
11/18/2015,235,105,175,220,115
11/19/2015,235,110,160,230,120
11/20/2015,240,105,160,230,120
11/23/2015,240,95,160,220,120
11/24/2015,245,100,160,240,120
11/26/2015,240,120,160,210,120
11/27/2015,260,125,170,240,120
11/30/2015,260,120,170,220,120
12/1/2015,260,115,170,225,120
12/2/2015,260,110,170,225,120
12/3/2015,260,110,170,220,120
12/4/2015,265,120,170,240,145
12/7/2015,225,100,180,240,180
12/8/2015,220,95,180,220,180
12/9/2015,220,90,180,220,170
12/10/2015,225,90,180,230,170
12/11/2015,240,95,180,240,180
12/14/2015,260,100,175,220,180
12/15/2015,260,105,150,220,180
12/16/2015,265,115,135,220,170
12/17/2015,260,125,130,225,160
12/18/2015,260,125,130,240,170
12/21/2015,280,140,150,240,140
12/22/2015,280,140,130,240,140
12/23/2015,285,150,130,220,140
12/28/2015,260,180,180,320,120
12/29/2015,240,220,180,340,120
12/30/2015,200,200,160,300,120
12/31/2015,240,180,160,340,105
1/1/2016,220,180,160,270,100
1/4/2016,220,170,160,240,105
1/5/2016,220,180,160,240,100
1/6/2016,200,170,160,200,100
1/7/2016,200,120,125,270,70
1/8/2016,200,120,140,240,70
1/11/2016,200,120,140,240,80
1/12/2016,180,110,120,220,80
1/13/2016,180,100,120,220,80
1/14/2016,180,100,120,220,75
1/18/2016,200,110,140,280,80
1/19/2016,200,100,120,320,70
1/20/2016,180,100,120,300,60
1/21/2016,180,100,120,280,65
1/22/2016,180,95,140,300,70
