date,pettah_wholesale,pettah_retail,dambulla_wholesale,dambulla_retail
3/6/2015,60,80,45,90
3/9/2015,60,80,55,90
3/11/2015,65,85,43,90
3/12/2015,75,95,38,90
3/13/2015,50,70,35,85
3/16/2015,55,80,40,75
3/17/2015,50,70,40,80
3/18/2015,50,70,43,85
3/19/2015,55,75,40,70
3/20/2015,50,70,40,70
3/24/2015,80,100,65,90
3/25/2015,70,90,58,90
3/26/2015,65,85,63,90
3/27/2015,70,90,50,90
3/31/2015,60,80,38,70
4/1/2015,65,85,38,70
4/2/2015,60,80,30,65
4/6/2015,80,100,38,70
4/7/2015,80,100,35,70
4/8/2015,75,90,43,73
4/9/2015,60,80,48,75
4/10/2015,100,120,58,85
4/21/2015,40,60,14,35
4/23/2015,40,60,18,40
4/24/2015,35,60,28,55
4/27/2015,35,60,28,55
4/28/2015,40,60,22,55
4/29/2015,40,60,,
4/30/2015,40,60,38,65
5/5/2015,40,60,,
5/6/2015,35,60,35,60
5/7/2015,35,60,38,70
5/8/2015,35,60,28,65
5/11/2015,40,60,43,75
5/12/2015,40,60,38,70
5/13/2015,40,60,45,70
5/14/2015,40,60,38,65
5/15/2015,35,55,35,65
5/18/2015,35,55,33,60
5/19/2015,35,55,38,70
5/20/2015,35,55,28,55
5/21/2015,28,50,28,60
5/22/2015,28,50,30,60
5/25/2015,28,50,35,60
5/26/2015,28,50,58,60
5/27/2015,28,50,25,60
5/28/2015,28,50,28,60
5/29/2015,28,50,23,60
6/1/2015,30,50,28,55
6/3/2015,28,50,18,40
6/4/2015,30,50,,
6/5/2015,30,50,25,50
6/8/2015,30,50,38,70
6/9/2015,30,50,38,60
6/10/2015,30,50,30,60
6/11/2015,30,50,38,60
6/12/2015,30,50,40,70
6/15/2015,25,45,40,65
6/16/2015,30,50,43,70
6/17/2015,30,50,38,65
6/18/2015,30,50,40,70
6/19/2015,30,50,43,75
6/22/2015,35,60,48,70
6/23/2015,35,55,48,75
6/24/2015,45,65,50,75
6/25/2015,45,65,50,75
6/26/2015,35,60,53,75
6/29/2015,45,65,68,90
6/30/2015,45,65,50,75
7/2/2015,50,70,40,70
7/3/2015,50,70,38,70
7/6/2015,55,75,53,85
7/7/2015,55,80,60,80
7/8/2015,55,80,58,85
7/9/2015,55,75,65,85
7/10/2015,55,80,65,90
7/13/2015,85,110,103,125
7/14/2015,95,120,98,125
7/15/2015,120,140,105,130
7/16/2015,140,160,105,130
7/17/2015,140,160,115,150
7/20/2015,125,140,75,120
7/21/2015,120,140,73,120
7/22/2015,120,140,68,105
7/23/2015,125,140,68,105
7/24/2015,100,120,75,105
7/27/2015,105,130,85,130
7/28/2015,120,140,88,110
7/29/2015,100,120,75,110
7/30/2015,100,120,95,130
8/3/2015,95,110,53,85
8/4/2015,90,110,63,85
8/5/2015,80,100,58,85
8/6/2015,80,100,53,85
8/7/2015,80,100,48,78
8/10/2015,75,95,48,80
8/11/2015,75,95,40,80
8/12/2015,75,95,43,80
8/13/2015,75,95,40,80
8/14/2015,60,80,43,85
8/17/2015,40,60,35,65
8/18/2015,40,60,,
8/19/2015,40,60,,
8/20/2015,40,60,43,85
8/21/2015,40,60,35,70
8/24/2015,40,60,43,85
8/25/2015,30,50,43,75
8/26/2015,40,60,45,75
8/27/2015,40,60,35,70
8/28/2015,40,60,38,70
8/31/2015,45,65,35,70
9/1/2015,40,60,38,70
9/2/2015,40,60,38,70
9/3/2015,45,70,30,70
9/4/2015,45,70,38,70
9/7/2015,45,70,35,70
9/8/2015,40,60,28,65
9/9/2015,50,70,30,65
9/10/2015,50,70,33,65
9/11/2015,50,70,33,65
9/14/2015,45,70,40,70
9/15/2015,50,70,50,75
9/16/2015,50,70,48,75
9/17/2015,65,80,48,75
9/18/2015,50,70,58,75
9/21/2015,45,65,48,75
9/22/2015,45,70,55,75
9/23/2015,50,70,60,90
9/25/2015,50,70,55,75
9/28/2015,55,75,65,90
9/29/2015,75,110,53,75
9/30/2015,75,95,55,75
10/1/2015,75,95,58,75
10/2/2015,75,95,60,80
10/5/2015,75,95,60,75
10/6/2015,70,80,65,85
10/7/2015,70,90,63,85
10/8/2015,70,90,53,75
10/9/2015,70,90,63,90
10/12/2015,65,85,53,75
10/13/2015,65,80,63,90
10/14/2015,65,85,63,90
10/15/2015,65,80,55,75
10/16/2015,65,85,60,75
10/19/2015,65,90,63,110
10/20/2015,75,95,55,90
10/21/2015,65,90,58,90
10/22/2015,75,95,60,90
10/23/2015,75,95,60,90
